Grand County, Utah, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
201108,75.8,
201109,65.6,
201110,51.8,
201111,38.2,
201112,28,
201201,30.9,
201202,33.4,
201203,45.5,
201204,52.8,
201205,62.3,
201206,74.5,
201207,76.9,
201208,76,
201209,66,
201210,53.4,
201211,42.7,
201212,27.7,
201301,18.6,
201302,29.5,
201303,43.1,
201304,47.1,
201305,59.6,
201306,73.6,
201307,77.7,
201308,72.9,
201309,64.5,
201310,48.8,
201311,38.2,
201312,21.7,
201401,29,
201402,37.2,
201403,43.5,
201404,49,
201405,59.2,
201406,70.1,
201407,77.8,
201408,70.6,
201409,67.1,
201410,54.8,
201411,38.3,
201412,32.4,
201501,32,
201502,39.4,
201503,47.3,
201504,49.9,
201505,56.6,
201506,73,
201507,73.4,
201508,74,
201509,68.7,
201510,56.6,
201511,37.3,
201512,26.7,
201601,27.6,
201602,35.1,
201603,44.1,
201604,49.8,
201605,57.8,
201606,75.6,
201607,76.9,
201608,72.4,
201609,64.5,
201610,56.2,
201611,43.6,
201612,29.5,
201701,29,
201702,40.2,
201703,48.8,
201704,49.6,
201705,59,
201706,74.6,
201707,78.1,
201708,74.4,
201709,65,
201710,50.6,
201711,45,
201712,31.3,
201801,31.9,
201802,35,
201803,42.6,
201804,52.2,
201805,63.1,
201806,74.1,
201807,79.9,
201808,75.8,
201809,69.5,
201810,49.1,
201811,35.9,
201812,28.7,
201901,26.2,
